Label,Product_Url,Content,header
Not a Computer,https://chicago.craigslist.org/nwc/sys/d/batavia-apple-mag-safe-charger/7689148204.html,"Very good shape, photo shows phone being charged. Charge through USB-C on computer or power adapter This won't work with my current case (case is too thick). A few scratches on back. $40 retail. Sell $20  ", Apple Mag Safe charger  -  $20  (Batavia)  
Not a Computer,https://chicago.craigslist.org/nwc/sys/d/chicago-macbook-pro-16-screen-protector/7686155876.html,Ibenzer Anti Blue Light Anti Glare Screen Protector fit 2020 2019 MacBook Pro 16 Model A2141                                                Eyes Protection Filter Reduces Eye Strain  , MacBook Pro 16 Screen Protector 2019-2020  -  $5  (Jefferson Park)  
Not a Computer,https://chicago.craigslist.org/nwc/sys/d/lisle-nib-brand-new-medion-wireless/7689558969.html,2 NIB Brand New Medion Wireless Keyboard and Mouse Sets     If you see this ad the keyboard and mouse sets are still available    Serious buyers please No reply if you dont leave your name and phone number thank you     Two new in original sealed box Medion wireless keyboard and mouse sets Wireless up to 33 feet 10 meters Sleek low profile keys Plug and play Batteries included    Keyboard Features   Sleek low profile keys   Integrated full numeric key pad   12 FN multimedia keys   Wireless range up to 33ft 10 meters   Dimensions 172 W x 64 D x 102 H   Powered by 1 AAA battery     Mouse Features   Designed for either right or left hand with quiet and durable click   Optical sensor   Selectable DPI 80012001600   Four buttons  OnOff Switch   Dimensions 248 W x 417 D x 154 H   Powered by 1 AA battery    Contents Keyboard Mouse USB RF Dongle Instruction Manual Warranty card 1 AA Battery 1 AAA Battery    Warranty 2 year    Color and Quantity   White 1   Mint Green 1    Condition NIB New in original sealed box    Price 25EA    Smoke free pets free home  Cash and pick up only        ,
Not a Computer,https://chicago.craigslist.org/nwc/sys/d/naperville-new-sealed-hp-laserjet-full/7685073489.html,"New, in box and sealed, HP LaserJet wireless monochrome (black and white) laser printer model# MFP M235dwe. Print / copy / scan.  Full duplex (two-sided printing), dual band Wi-Fi, bluetooth, ethernet, and USB connectivity, HP+ smart app printing system.  Asking $100.  ", New Sealed HP LaserJet Full Duplex Wireless Laser Printer  -  $100  (Naperville)  
Not a Computer,https://chicago.craigslist.org/nwc/sys/d/naperville-new-and-sealed-link-port/7685077293.html,New and sealed in box D-Link 5-port 10/100 desktop switch.  $5.00.  , New and Sealed D-Link 5 Port Desktop Switch  -  $5  (Naperville)  
Not a Computer,https://chicago.craigslist.org/nwc/sys/d/hammond-lk-like-new-cannon-pixma-mg/7692190167.html,"Hello there and thanks for checking out my ad! I'm selling a like new Cannon Pixma MG 2522 printer complete with power cord, disk and org box. Color cartridge included but you will need to buy black ink! You will also need your own printer cord as well. $25 take it! Cash and Carry! If you have questions or would like to purchase call   show contact info . Thanks for checkout my ad!  "," L@@K Like New Cannon Pixma MG 2522 Printer  -  $25  (Hammond, IN)  "
Not a Computer,https://chicago.craigslist.org/nwc/sys/d/evanston-brother-ads-2000-desktop/7693233027.html,"Brother ADS-2000 Desktop Scanner Hi Speed    High Speed Scanning - Scans up to 24ppm B&W and color‡  Duplex Scanning - Two-sided scanning in a single pass  High Quality - Resolution up to 600 x 600 dpi(optical) 1200 x 1200 dpi (interpolated)  High Volume Scanning - Up to 50-sheet auto document feed capacity (ADF)  Operating System - Windows®, Mac® and Linux compatible  Flexible Media - Including documents, business cards, plastic ID cards (insurance cards, drivers licenses and ID cards), receipts and photos  Scan-To Destinations - E-mail, OCR, File and Image. Additionally supports scanning to USB flash memory drive‡ and scanning to Android™ phone/tablet‡  Advanced Features - Multi-feed detection, background removal, blank page removal, deskew support, continuous scanning mode and 2-in-1 mode  Robust Software Suite - Nuance™ PDF Converter Professional 7 (Windows®) (Not supporting XP 64bit), Nuance™ Paper Port™ 12SE (Windows®), Presto!® PageManager® 9 (Mac®), Presto!® BizCard® 5 (Mac®) / 6 (Windows®), Control Center 4 (Windows®), Control Center 2 (Mac®)    Call   show contact info     NO SHIPPING, NO CASHIER CHECKS OR PAYPAL  LOCAL PICKUP ONLY  ", Brother ADS-2000 Desktop Scanner Hi Speed  -  $120  (Evanston)  
Computer,https://chicago.craigslist.org/nwc/sys/d/chicago-hp-probook-450-g3-intel-core-i7/7693236872.html,HP  ENVY  M4  LAPTOP  Normal working condition  Good cosmetic condition    Processor    Intel   Core    i76500U   259 GHz  Installed  Memory   16 GB  DDR3  Installed  Hard  Drive  250 SSD  DVD  CD RW DRIVE     Screen size  155 with web cam  Intel  HD  Graphics   520  Display resolution  1920 X 1080  30  AND  20  USB  PORTS  HDMI  PORT  SD CARD READER  WiFi And Bluetooth Connection  Comes with HP power charger  Windows   10   Pro   Version   22H2    NOTE THE LAPTOP HAS VERY SMALL SCRATCHES ON THE BODY ALSO THE BATTERY NEEDS TO BE REPLACE DOESNT HOLD ANY CHARGE    For info call or text   773   7 1 five 2 2 8 9,
Computer,https://chicago.craigslist.org/nwc/sys/d/chicago-17-acer-aspire-7551-intel/7692375184.html,Acer  Aspire  7551  Laptop  Normal working condition  Good cosmetic condition    LAPTOP INFO  Processor    Intel   Pentium   6100   200 GHz  Installed Hard Drive  250 GB SSD    Installed Memory  8 GB PC3  Screen Size 17 with camera  DVD  CD RW DRIVE  Intel HD  Graphics   20 USB PORTS  HDMI PORT  SD CARD READER  WiFi  Connection  Battery  holds good  charge  Comes with power charger  Windows   10   Home Version 22H2    NOTE  WINDOWS IS NOT ACTIVATED     For info call or text  773  7 one 5 two 2 8 9,
Not a Computer,https://chicago.craigslist.org/nwc/sys/d/chicago-apple-ipad-mini-a1432-wi-fi/7692500602.html,APPLE IPAD  MINI  1ST  GEN  A1432   16GB  Normal working condition  Wipe and clean   Battery holds normal charge  iPad OS Version   935  Comes with apple power charger     NOTE THE IPAD HAS VERY SMALL SCRATCHES ON THE BODY     For info call or text   show contact info ,
